feature,importance,std
pX_neflowisol20,-2.777777777829282e-06,0.00014774540163302113
pX_maxEcell_gain,-5.555555555569747e-06,1.1111111111139494e-05
pX_E5x7_Lr2,-8.333333333387927e-06,7.354556830487878e-05
pX_E7x11_Lr3,-1.1111111111150595e-05,0.0001315857698036288
pX_poscs1,-1.1111111111150595e-05,7.973722274671224e-05
pX_e132,-1.666666666670924e-05,0.00010772621905368797
pX_poscs2,-1.9444444444494112e-05,6.340395672509008e-05
pX_emaxs1,-1.9444444444505215e-05,0.0001685312368012939
pX_widths1,-2.2222222222267885e-05,0.00011097213530800045
pX_ecore,-2.5000000000041655e-05,0.00011002945733520211
pX_fracs1,-2.500000000006386e-05,6.015668841028882e-05
pX_r33over37allcalo,-2.7777777777815428e-05,0.00011453071182272532
pX_f3core,-2.777777777783763e-05,0.00015112745009706084
pX_etcone30,-5.5555555555597544e-05,0.00015860113804022315
pX_nCells_Lr2_MedG,-5.833333333339352e-05,1.944444444445922e-05
pX_maxEcell_energy,-6.111111111114508e-05,7.11458248603742e-05
pX_weta1,-6.11111111111562e-05,0.00010153148268052828
pX_e2ts1,-6.388888888894106e-05,8.429994947498178e-05
p_z0,-6.388888888894106e-05,0.00011456439237390062
p_phi,-6.388888888894106e-05,8.429994947497813e-05
p_numberOfTRTHits,-6.388888888895217e-05,5.422005915540357e-05
pX_e233,-6.944444444449971e-05,7.054680610667583e-05
p_f1,-7.222222222227347e-05,0.00016206613495350707
pX_e2tsts1,-7.222222222228459e-05,0.00010333930687632987
pX_nCells_Lr3_HiG,-7.777777777783213e-05,5.931710140019757e-05
p_numberOfTRTXenonHits,-8.0555555555617e-05,9.16666666666744e-05
pX_deltaPhi0,-9.444444444448586e-05,6.938886664888034e-05
pX_deltaPhi3,-0.00010555555555561425,0.00012031337682059098
p_eta,-0.00010833333333338801,6.854979266251668e-05
pX_maxEcell_time,-0.00010833333333338801,0.00011002945733522789
pX_maxEcell_x,-0.00011388888888893555,6.854979266250859e-05
